경찰서이름,위도,경도
강남경찰서,37.5094352,127.0669578
마포경찰서,37.5718548,126.9989222
광진경찰서,37.5508513,126.954052
종암경찰서,37.5429023,127.0838824
용산경찰서,37.6020725,127.0321682
종로경찰서,37.5412368,126.9678988
강동경찰서,37.57563,126.9849248
강서경찰서,37.528511,127.1268224
구로경찰서,37.5516732,126.8499269
서대문경찰서,37.494931,126.886731
영등포경찰서,37.5647848,126.9667762
중랑경찰서,37.5179839,126.9075056
관악경찰서,37.6185992,127.1045876
금천경찰서,37.4743789,126.9509748
노원경찰서,37.4568714,126.8970523
서초경찰서,37.6425238,127.0717076
수서경찰서,37.4956054,127.0052504
서부경찰서,37.49349,127.0772119
송파경찰서,37.6128611,126.9274951
방배경찰서,37.5019052,127.1271536
은평경찰서,37.4945959,126.9831279
강북경찰서,37.628356,126.9287302
동대문경찰서,37.6587227,127.0029924
성북경찰서,37.5850615,127.0457679
도봉경찰서,37.58972,127.0161779
성동경찰서,37.6533589,127.052682
중부경찰서,37.5617211,127.0363954
동작경찰서,37.5636465,126.9895796
양천경찰서,37.5165667,126.8656763
남대문경찰서,37.5547584,126.9734981
